N_REGISTRO,PRAIA,TIPO_REG,DATA_OCORR,N_NINHO,HORA_OCORR,GPS_ID,WAYPOINT,LATITUDE,LONGITUDE,TURTLE ID,MARCAS_COL1,MARCAS_COL2,MARCAS_ENC1,MARCAS_ENC2,MARCAS_RET,COMP_CASCO,LARG_CASCO,COLETA_MAT_FEMEAS,VIAL _N,SITUACAO,TEMP_LOGGER_ID,TEMP_LOGGER_DEPLOYED,TEMP_LOGGER_REMOVED,TEMP_TRANSF,OVOS_TRANSF,OVOS_FUR,LATITUDE_DESTINO,LONGITUDE_DESTINO,DATA_ECLOS,DATA_ABERT,HIST_NINHO,VIVOS,NATIMORTOS,OVOS_N_ECL,OVOS_TOT,Hatching success,INCUBACAO,COLETA_MAT_Filhotes,OBSERVACAO,,,,,,,,,,,,,,,,,,
1,Leao,CD,X-Dec-2019,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,2,NA,NA,11-Jan-2020,13-Jan-2020,SU,68,0,7,75,90.7,NA,NA,"Avisada por ICMBIO viu no dia 22/11, porem equipe so viu 3/12",,,,,,,,,,,,,,,,,,
2,Leao,CD,X-Dec-2019,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,22-Jan-2020,26-Jan-2020,SU,118,1,66,185,63.8,NA,NA,Ocorreu entre 27/11 e 3/12 polo branco bem evidente,,,,,,,,,,,,,,,,,,
3,Leao,CD,X-Dec-2019,1,NA,11,N01,-3.869748,-32.436963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,29-Dec-2019,30-Dec-2020,SU,71,0,13,84,84.5,NA,NA,GPS 11 - N01,,,,,,,,,,,,,,,,,,
4,Leao,CD,14-Dec-2019,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,02-Feb-2020,02-Feb-2020,SU,64,2,20,86,74.4,50,NAO,,,,,,,,,,,,,,,,,,,
5,Leao,CD,15-Dec-2019,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,07-Feb-2020,10-Feb-2020,SU,65,13,7,85,76.5,54,SIM - 8 filhotes,,,,,,,,,,,,,,,,,,,
6,Leao,CD,19-Dec-2019,7,20:43,11,N07,-3.869871,-32.437259,F1,BRA 21602,NA,BR 26380,NA,NA,112.5,105,SIM,#7 - 19/12/19 - BRA21602,I,896691,20-Dec-2019 00:52,13-Feb-2019 00:17,NA,NA,NA,NA,NA,11-Feb-2020,12-Feb-2020,SU,108,17,43,168,64.3,54,SIM - 88 filhotes,GPS 11 - N07,,,,,,,,,,,,,,,,,,
7,Leao,ML,24-Dec-2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 1 e 2:10.,,,,,,,,,,,,,,,,,,
8,Leao,ML,24-Dec-2019,NA,2:10,11,ML01,-3.869910,-32.437210,F2,BRA 21607,BRA 21608,NA,NA,NA,99.5,96.1,SIM,#ML - 24/12/19 - BRA21607/ BRA21608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GPS11; waypoint = ML01; curved minimum carapace length = 97 cm; pele machucada no pescoço e nadadeira, provavelmente por cópula. ",,,,,,,,,,,,,,,,,,
9,Leao,CD,26-Dec-2019,8,20:35,NA,NA,-3.870013,-32.437891,F3,BRA 21606,BRA 21609,NA,NA,NA,113.4,107.5,SIM,#8 - 26/12/19 - BRA21606/ BRA21609,I,895561,26-Dec-2019 22:23,19-Feb-2020 08:04,NA,NA,NA,NA,NA,17-Feb-2020,18-Feb-2020,SU,64,5,10,79,81.0,53,SIM - 32 filhotes," GPS 11 - N08. Queloides, possivel cicatriz. BRA21609 colocada na posterior (muito gorda). Marca de copula profunda. 4 ovos anomalos.",,,,,,,,,,,,,,,,,,
10,Leao,CD,27-Dec-2019,9,0:40,11,N09,-3.869780,-32.437193,F4,BRA 21610,NA,BR 83334,NA,NA,112.8,110,SIM,#9 - 27/12/19 - BR83334/ BRA21610,I,895562,28-Dec-2019 02:08,20-Feb-2020 23:29,NA,NA,NA,NA,NA,18-Feb-2020,20-Feb-2020,SU,83,11,7,101,82.2,53,SIM - 32 filhotes,GPS 11 - N09,,,,,,,,,,,,,,,,,,
11,Leao,CD,28-Dec-2019,10,20:00,10,N10,-3.869657,-32.436526,F5,NA,NA,BR 38657,BR 38683,NA,110,103,SIM,#10 - 28/12/19 - BR38657/ BR38683,I,896699,28-Dec-2019 20:37,19-Feb-2020 21:44,NA,NA,NA,NA,NA,19-Feb-2020,19-Feb-2020,SU,86,7,4,97,88.7,53,SIM - 86 filhotes,GPS 10 - N10,,,,,,,,,,,,,,,,,,
