N_REGISTRO,PRAIA,TIPO_REG,DATA_OCORR,N_NINHO,HORA_OCORR,GPS_ID,WAYPOINT,LATITUDE,LONGITUDE,MARCAS_COL1,MARCAS_COL2,MARCAS_ENC1,MARCAS_ENC2,MARCAS_RET,COMP_CASCO,LARG_CASCO,COLETA_MAT_FEMEAS,VIAL _N,SITUACAO,TEMP_LOGGER_ID,TEMP_LOGGER_DEPLOYED,TEMP_LOGGER_REMOVED,TEMP_TRANSF,OVOS_TRANSF,OVOS_FUR,LATITUDE_DESTINO,LONGITUDE_DESTINO,DATA_ECLOS,DATA_ABERT,HIST_NINHO,VIVOS,NATIMORTOS,OVOS_N_ECL,OVOS_TOT,INCUBACAO,COLETA_MAT_Filhotes,OBSERVACAO
1,Leao,CD,X-Dec-2019,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,2,NA,NA,11-Jan-20,13-Jan-20,SU,68,0,7,75,NA,NA,"Avisada por ICMBIO viu no dia 22/11, porem equipe so viu 3/12"
2,Leao,CD,X-Dec-2019,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,22-Jan-20,26-Jan-20,SU,118,1,66,185,NA,NA,Ocorreu entre 27/11 e 3/12 polo branco bem evidente
3,Leao,CD,X-Dec-2019,1,NA,11,N01,-3.869748,-32.436963,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,29-Dec-19,30-Dec-20,SU,71,0,13,84,NA,NA,GPS 11 - N01
4,Leao,CD,14-Dec-19,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,2-Feb-20,2-Feb-20,SU,64,2,20,86,50,NAO,
5,Leao,CD,15-Dec-19,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,7-Feb-20,10-Feb-20,SU,65,13,7,85,54,SIM - 8 filhotes,
6,Leao,CD,19-Dec-19,7,20:43,11,N07,-3.869871,-32.437259,BRA 21602,NA,BR 26380,NA,NA,112.5,105,SIM,#7 - 19/12/19 - BRA21602,I,896691,12/20/2019 00:52,2/13/2019 00:17,NA,NA,NA,NA,NA,11-Feb-20,12-Feb-20,SU,108,17,43,168,54,SIM - 88 filhotes,GPS 11 - N07
7,Leao,ML,24-Dec-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 1 e 2:10.
8,Leao,ML,24-Dec-19,NA,02:10,11,ML01,-3.86991,-32.43721,BRA 21607,BRA 21608,NA,NA,NA,99.5,96.1,SIM,#ML - 24/12/19 - BRA21607/ BRA21608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GPS11; waypoint = ML01; curved minimum carapace length = 97 cm; pele machucada no pescoço e nadadeira, provavelmente por cópula. "
9,Leao,CD,26-Dec-19,8,20:35,NA,NA,-3.870013,-32.437891,BRA 21606,BRA 21609,NA,NA,NA,113.4,107.5,SIM,#8 - 26/12/19 - BRA21606/ BRA21609,I,895561,12/26/2019 22:23,2/19/2020 08:04,NA,NA,NA,NA,NA,17-Feb-20,18-Feb-20,SU,64,5,10,79,53,SIM - 32 filhotes," GPS 11 - N08. Queloides, possivel cicatriz. BRA21609 colocada na posterior (muito gorda). Marca de copula profunda. 4 ovos anomalos."
10,Leao,CD,27-Dec-19,9,00:40,11,N09,-3.86978,-32.437193,BRA 21610,NA,BR 83334,NA,NA,112.8,110,SIM,#9 - 27/12/19 - BR83334/ BRA21610,I,895562,12/28/2019 02:08,2/20/2020 23:29,NA,NA,NA,NA,NA,18-Feb-20,20-Feb-20,SU,83,11,7,101,53,SIM - 32 filhotes,GPS 11 - N09
11,Leao,CD,28-Dec-19,10,20:00,10,N10,-3.869657,-32.436526,NA,NA,BR 38657,BR 38683,NA,110,103,SIM,#10 - 28/12/19 - BR38657/ BR38683,I,896699,12/28/2019 20:37,2/19/2020 21:44,NA,NA,NA,NA,NA,19-Feb-20,19-Feb-20,SU,86,7,4,97,53,SIM - 86 filhotes,GPS 10 - N10
12,Leao,CD,31-Dec-19,11,NA,10,N11,-3.869681,-32.437074,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,23-Feb-20,25-Feb-20,SU,92,9,52,163,54,NA,GPS 10 - N11
13,Leao,CD,3-Jan-20,12,00:10,11,N12,-3.869633,-32.436276,BRA 21620,BRA 21622,NA,NA,NA,103.5,99.6,SIM,#12 - 3/1/20 - BRA21620/ BRA21622,I,896702,1/4/2020 00:30,2/22/2020 21:25,NA,NA,NA,NA,NA,21-Feb-20,22-Feb-20,SU,85,0,2,87,49,SIM - 32 filhotes,GPS 11 - N12
14,Leao,CD,6-Jan-20,13,22:20,11,N13,-3.869772,-32.436939,NA,NA,BRA 21606,BRA 21609,NA,113.4,107.5,SIM,#13 - 06/01/20 - BRA21606/ BRA21609,I,896729,1/7/2020 00:46,2/28/2020 21:55,NA,NA,NA,NA,NA,27-Feb-20,28-Feb-20,SU,109,0,4,113,52,NAO,"GPS 11 - N13 - No dia da abertura foi observado rastros de caranguejos proximos ao ninho, provavelmente os caranguejos podem ter pego os filhotes."
15,Leao,CD,8-Jan-20,14,20:15,11,N14,-3.869892,-32.437213,NA,NA,BR 20516,BR 20517,NA,123.9,109.1,SIM,#14 - 08/01/20 - BR20516/ BR20517,I,896717,1/8/2020 23:02,2/29/2020 23:10,NA,NA,NA,NA,NA,29-Feb-20,29-Feb-20,SU,90,0,55,145,52,SIM - 32 filhotes,GPS 11 - N14 - presenca de anol na nadadeira anterior equerda (nao conseguimos tirar).
