N_REGISTRO,PRAIA,TIPO_REG,TURTLE ID,DATA_OCORR,N_NINHO,HORA_OCORR,GPS_ID,WAYPOINT,LATITUDE,LONGITUDE,MARCAS_COL1,MARCAS_COL2,MARCAS_ENC1,MARCAS_ENC2,MARCAS_RET,COMP_CASCO,LARG_CASCO,COLETA_MAT_FEMEAS,VIAL _N,SITUACAO,TEMP_LOGGER_ID,TEMP_LOGGER_DEPLOYED,TEMP_LOGGER_REMOVED,TEMP_TRANSF,OVOS_TRANSF,OVOS_FUR,LATITUDE_DESTINO,LONGITUDE_DESTINO,DATA_ECLOS,DATA_ABERT,HIST_NINHO,VIVOS,NATIMORTOS,OVOS_N_ECL,OVOS_TOT,COLETA_MAT_Filhotes,Filhotes amostrados,Tempo de incubacao,Hatching success,OBSERVACAO
1,Leao,SD,NA,20-Dec-2020,1,NA,11,ND 1,-3.86950,-32.43648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"GPS 11 - ND 1. Não foram encontrados os ovos, foi mantida uma estaca (numero 1). Não houve eclosão, ocorrência ND modificada para SD."
2,Leao,ML,NA,24-Dec-2020,NA,NA,11,ML24-12-20,-3.86965,-32.43647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - ML24-12-20.
3,Leao,SD,F1,25-Dec-2020,NA,21:45,11,SD 25/12,-3.86991,-32.43761,BRA 21740,NA,BR 83209,NA,NA,104,97.5,SIM,#SD-25/12/20 BR 83209/BRA 21740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - SD 25/12 - F1.
4,Leao,SD,NA,28-Dec-2020,2,NA,11,4,-3.86971,-32.43684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"GPS 11 - 4. Não foram encontrados os ovos, foi mantida uma estaca (numero 2). Não houve eclosão, ocorrência ND modificada para SD. "
5,Leao,ML,NA,29-Dec-2020,NA,NA,11,ML 29/12/20,-3.86958,-32.43650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - ML 29/12/20.
6,Leao,CD,NA,29-Dec-2020,3,NA,11,6,-3.86932,-32.43627,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,16-Feb-2021,17-Feb-2021,SU,53,7,45,105,NÃO,,49,50.5,GPS 11 - 6.
7,Leao,SD,NA,03-Jan-2021,NA,NA,11,SD03-01-21,-3.86989,-32.43760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - SD03-01-21.
8,Leao,CD,NA,03-Jan-2021,4,NA,11,8,-3.86946,-32.43654,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,19-Feb-2021,19-Feb-2021,SU,50,3,17,68,SIM - 48 filhotes,48,47,73.5,GPS 11 - 8. Fêmea desconhecida (não flagrada). 1 ovo anômalo. 2 filhotes morreram após a abertura do ninho. Ninho coletado para teste. 
9,Leao,ML,NA,13-Jan-2021,NA,NA,11,34,-3.86928,-32.43651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 034. Ocorrência antes das 20:15.
10,Leao,ML,NA,13-Jan-2021,NA,NA,11,35,-3.87004,-32.43652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 035. Ocorrência entre 00:00 e 1:10.
11,Leao,SD,F1,14-Jan-2021,NA,23:40,10,51,-3.86996,-32.43734,NA,NA,BR 83209,BRA 21740,NA,104,98.7,SIM,14/01/21 BR 83209/ BRA 21740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 051 - F1. Foto ID ok.
