N_NINHO,N_REGISTRO,PRAIA,TURTLE ID,DATA_OCORR,TIPO_REG,HORA_OCORR,GPS_ID,WAYPOINT,LATITUDE,LONGITUDE,MARCAS_COL1,MARCAS_COL2,MARCAS_ENC1,MARCAS_ENC2,MARCAS_RET,COMP_CASCO,LARG_CASCO,COLETA_MAT_FEMEAS,VIAL _N,SITUACAO,TEMP_LOGGER_ID,TEMP_LOGGER_DEPLOYED,TEMP_LOGGER_REMOVED,TEMP_TRANSF,OVOS_TRANSF,OVOS_FUR,LATITUDE_DESTINO,LONGITUDE_DESTINO,DATA_ECLOS,DATA_ABERT,HIST_NINHO,VIVOS,NATIMORTOS,OVOS_N_ECL,OVOS_TOT,COLETA_MAT_Filhotes,Filhotes amostrados,INCUBACAO,Hatching success,OBSERVACAO
3,6,Leao,NA,29-Dec-20,CD,NA,11,6,-3.86932,-32.43627,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,16-Feb-21,17-Feb-21,SU,53,7,45,105,NAO,,49,50.5,GPS 11 - 6.
4,8,Leao,NA,3-Jan-21,CD,NA,11,8,-3.86946,-32.43654,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,19-Feb-21,19-Feb-21,SU,50,3,17,68,SIM - 48 filhotes,48,47,73.5,GPS 11 - 8. Fêmea desconhecida (não flagrada). 1 ovo anômalo. 2 filhotes morreram após a abertura do ninho. Ninho coletado para teste. 
5,12,Leao,F1,15-Jan-21,CD,19:50,11,36,-3.86957,-32.43716,NA,NA,BR 83209,BRA 21740,NA,105,97,SIM,#5-15/01/21 BR 83209/ BRA 21740,I,896711,1/15/2021 22:21,3/4/2021 00:59,NA,NA,NA,NA,NA,2-Mar-21,3-Mar-21,SU,32,6,72,110,SIM - 32 filhotes,32,46,29.1,"GPS 11 - 036 - F1. Foto ID ok. Na noite do dia 2-Mar-21 foi encontrado um único filhote às 3:30; liberado ao mar. No dia 3-Mar-21, três filhotes emergiram às 00:59 e os demais vivos que estavam próximo a superficie foram coletados para amostragem.  "
6,13,Leao,F2,16-Jan-21,CD,20:30,10,52,-3.87003,-32.43782,BRA 27902,NA,BR 38662,NA,NA,119.5,113,SIM,#6- 16/01/21 BRA 27902/ BR 38662,I,895562,1/16/2021 21:12,3/7/2021 21:15,NA,NA,NA,NA,NA,5-Mar-21,7-Mar-21,SU,66,23,14,103,SIM - 66 filhotes,66,48,64.1,"GPS 10 - 052 - F2. Foto ID ok. 2 filhotes emergidos e coletados no dia 5-Mar-21, 42 filhotes emergidos dia 7-Mar-21 e 22 filhotes retidos.  "
7,14,Leao,NA,17-Jan-21,CD,NA,11,NEST 7,-3.86951,-32.43615,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,8-Mar-21,9-Mar-21,SU,57,5,44,106,NA,,50,53.8,GPS 11 - NEST 7. Ocorrência após às 3:10. 1 ovo anomalo  pequeno e 1 filhote encontrado morto na vegetacao (seco). Ninho com muitas raizes que envolviam a parte exterior dos ovos nao eclodidos
8,16,Leao,F3,22-Jan-21,CD,21:30,11,38,-3.86967,-32.43651,NA,NA,BR 67305,BRA 27905,NA,106,104,SIM,#8-22/01/21 BR 67305/ BRA 27905,I,896725,1/22/2021 23:06,3/12/2021 20:38,NA,NA,NA,NA,NA,12-Mar-21,12-Mar-21,SU,48,17,21,86,SIM - 47 filhotes,47,49,55.8,GPS 11 - 038 - F3. Foto ID ok. Marca BR 67305 na nadadeira posterior esquerda e BRA 27905 na nadadeira anterior esquerda.  
9,18,Leao,F4,25-Jan-21,CD,22:40,11,39,-3.86998,-32.43784,BRA 27908,BRA 27909,NA,NA,NA,108.5,95.5,SIM,#9-25/01/21 BRA 27908/ BRA 27909,I,880878,1/25/2021 22:58,3/15/2021 23:05,NA,NA,NA,NA,NA,13-Mar-21,15-Mar-21,SU,44,1,3,48,SIM - 43 filhotes,43,47,91.7,"GPS 11 - 039 - F4. Foto ID ok. 1 filhote emergido e coletado dia 13-Mar-21, 41 filhotes emergidos e coletados dia 15-Mar-21 e 1 filhote retido e coletado dia 15-Mar-21.  "
10,19,Leao,F5,26-Jan-21,CD,20:23,10,54,-3.86984,-32.43725,NA,NA,BRA 27906,BRA 27907,NA,110,101.5,SIM,#10- 25/01/21- BRA 27907/ BRA 27906,I,896705,1/26/2021 20:23,3/16/2021 20:58,NA,NA,NA,NA,NA,15-Mar-21,16-Mar-21,SU,24,4,44,72,NAO,,48,33.3,"GPS 10 - 054 - F5. Foto ID ok. No dia 10-Mar-21 foi procurado o ninho para ser telado e os ovos nao foram encontrados. Tiny Tag foi encontrado bem na superficie e ficou fora das 00:13 as 1:15. Durante a abertura do ninho foi encontrado um outro ninho bem proximo, provavelmente o ninho 42. O tiny tag nao estava dentro do ninho."
11,20,Leao,F6,26-Jan-21,CD,20:16,10,55,-3.86971,-32.43679,BRA 27903,BRA 27904,NA,NA,BRA 06140,108,103.8,SIM,#11 - 26/01/21 - BRA 27903/ BRA 27904,I,881571,1/26/2021 21:49,3/16/2021 02:10,NA,NA,NA,NA,NA,15-Mar-21,15-Mar-21,SU,76,4,21,101,SIM - 76 fihotes,76,48,75.2,GPS 10 - 055 - F6. Foto ID ok. Marca BRA 27903 colocada entre a segunda e terceira escama da nadadeira esquerda e marca BRA 27904 colocada na axila da nadadeira direita.
12,24,Leao,F1,28-Jan-21,CD,19:50,11,NEST 12,-3.86978,-32.43731,NA,NA,BRA 21740,BR 83209,NA,104,96.5,NAO,NA,I,896702,1/28/2021 21:19,3/20/2021 22:41,NA,NA,NA,NA,NA,18-Mar-21,20-Mar-21,SU,104,4,10,118,NAO,,49,88.1,GPS 11 - 043 - F1.
