N_REGISTRO,PRAIA,TIPO_REG,DATA_OCORR,N_NINHO,HORA_OCORR,GPS_ID,WAYPOINT,LATITUDE,LONGITUDE,TURTLE_ID,MARCAS_COL_Esquerda,MARCAS_COL_Direita,MARCAS_COL_Posterior_Esquerda,MARCAS_COL_Posterior_Direita,MARCAS_ENC_Esquerda,MARCAS_ENC_Direita,MARCAS_ENC_Posterior_Esquerda,MARCAS_ENC_Posterior_Direita,MARCAS_RET,COMP_CASCO,LARG_CASCO,COLETA_MAT_FEMEAS,VIAL _N,SITUACAO,TEMP_LOGGER_ID,TEMP_LOGGER_DEPLOYED,TEMP_LOGGER_REMOVED,TEMP DOWNLOAD - DATE,TEMP_TRANSF,OVOS_TRANSF,OVOS_FUR,LATITUDE_DESTINO,LONGITUDE_DESTINO,DATA_ECLOS,DATA_ABERT,HIST_NINHO,VIVOS,NATIMORTOS,OVOS_N_ECL,OVOS_TOT,COLETA_MAT_Filhotes,Filhotes amostrados,INCUBACAO,Hatching success,OBSERVACAO
1,LEO,SD,29-Dec-22,NA,NA,11,309,-3.86954,-32.43616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência registrada pelo TAMAR no monitoramento diurno.  
2,LEO,SD,29-Dec-22,NA,NA,11,308,-3.86946,-32.43619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência registrada pelo TAMAR no monitoramento diurno.  
3,LEO,CD,29-Dec-22,1,NA,11,307,-3.86997,-32.43772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,18-Feb-23,18-Feb-23,SU,101,15,47,163,NAO,NA,51,61.96,F unknown. Ocorrência registrada pelo TAMAR no monitoramento diurno.  
4,LEO,SD,10-Jan-23,NA,20:40,11,310,-3.86942,-32.43568,F1,NA,NA,NA,NA,BR 26380,BRA 21602,NA,NA,NA,112.8,105,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD no início da praia (local de muitas pedras) Fez 3 camas e desceu às 3:30. Tartaruga robusta. Marca direita entre a 2° e 3° escama.  
5,LEO,CD,11-Jan-23,2,20:35,11,312,-3.86973,-32.43696,F2,BRA 27873,BRA 31301,NA,NA,NA,NA,NA,NA,NA,103,96.5,SIM,#N02 11-Jan-2023 BRA 27873 BRA 31301,I,21309329,1/11/2023 23:38,3/1/2023 00:44,NA,NA,NA,NA,NA,NA,28-Feb-23,28-Feb-23,SU,62,0,5,67,SIM,32,48,92.54,"Marca colocada na axila esquerda (BRA 27873), pintado, todas fotos OK. Temperature logger not configured correctly - data not recorded for this nest."
6,LEO,ML,11-Jan-23,NA,20:45,11,311,-3.87002,-32.43907,F1,NA,NA,NA,NA,BR 26380,BRA 21602,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ML porção final da praia, pintada."
7,LEO,ML,11-Jan-23,NA,00:40,11,313,-3.87019,-32.43833,F1,NA,NA,NA,NA,BR 26380,BRA 21602,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ML em frenta da casinha.
8,LEO,SD,11-Jan-23,NA,04:15,11,314,-3.87009,-32.43775,F1,NA,NA,NA,NA,BR 26380,BRA 21602,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fez 7 camas, desceu 6:29"
9,LEO,CD,12-Jan-23,3,20:40,11,315,-3.86963,-32.43599,F1,NA,NA,NA,NA,BR 26380,BRA 21602,NA,NA,NA,113,105,SIM,#N03 12-Jan-2023 BR 26380 BRA 21602,I,21309336,1/12/2023 22:38,3/4/2023 01:51,5-Mar-23,NA,NA,NA,NA,NA,3-Mar-23,3-Mar-23,SU,108,5,57,170,SIM,40,50,63.53,"Cama muito profunda. Ninho ao lado da caixa de latex no início da praia; a caixa caiu e prendeu a nadadeira direita, a caixa foi retirada e não houve danos a nadadeira.    "
10,LEO,SD,15-Jan-23,NA,21:45,10,232,-3.8701,-32.43866,F3,BRA 31321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A tartaruga descendo. Não foi possível realizar os demais procedimentos.
