Season,Date,year,month,Time,Turtle ID,ID only males,Capture Location,Depth (m),"Activity type (capture, boat)",Dive ID,Transect ID,GPS_Y,GPS_X,Tag status,Tag_Scars,Tag_Scar_Loc,Tags_Fouled,Tags_Fouled_Comment,Flipper_Tag_#1,Flipper_Tag_#2,Flipper_Tag_#3,Species,CCL_Std_cm n-t,CCL_Min n-n,CCL_Width_cm,Tail_Tip_mm,Tail_Vent_mm,Weight_kg,Sex,Body_Condition,Flipper_Damage,Flipper_Dmg_Comment,Carapace_Damage,Carapace_Dmg_Comment,Mouth_Check,Mouth_Check_Comment,Leeches,Leeches_Comment,Coccoons,Coccoons_Comment,Barnacles_Scutes,Barnacles_Scales,FP,FP_Tumor_Score,FP_Balazs_Score,Other_Epibionts,Blood,Biopsy,Vial_Label,Scute,Other_Sample,Other_Sample_Comment,Samples_For_Others,Photos,Notes,Satellite_Tag,Sat_Tag_Serial_#,Sat_Tag_PTT_#,Release_GPS_Y,Release_GPS_X,Release_Date,Release_Time,Acoustic_Tag,Comments ,
1,23-Dec-19,2019,12,14:13:00,1,1,Sancho,4,Boat,1,NA,-3.85206,-32.44694,Recapture,NA,NA,YES,Light (Leeches and algae),BRA 06187,BRA 06188,,CM,106,NA,99,40,31.5,NA,Male,Good,NO,NA,NO,NA,NO,NA,YES,ON THE TAGS IN THE HIND FLIPPERS,NO,NA,NO,YES,NO,NA,NA,NO,NO,YES,23/12/19 - BRA 06188,NO,NA,NA,NA,YES,SMALL BERNACLES IN THE FLIPPERS,YES,19A0570,195967,3.85206,32.44694,12/23/2019,16:44:00,NO,"TAIL LENGTH VENT TO TIP = 12cm / INJURIE IN THE AXILARY REGION OF THE LEFT FRONT FLIPPER, POSSIBLY CAUSED BY MATING FIGHT",
1,12-Jan-20,2020,1,15:20:00,2,2,Leão,5,,2,NA,NA,NA,New recruit,NO,NA,NA,NA,BRA 21637,BRA 21638,,CM,98.7,NA,NA,NA,NA,NA,Male,Good,NO,NA,NO,NA,NO,NA,NO,NA,NO,NA,NO,NO,NO,NA,NA,NO,NO,YES,12/01/2020 - BRA 21637 BRA 21638,NO,NA,NA,NA,NO,,NO,NA,NA,NA,NA,01/12/2020,15:30:00,NO,,
1,14-Jan-20,2020,1,11:00:00,3,3,Leão,8,,7,NA,NA,NA,New recruit,NO,NA,NA,NA,BRA 21635,BRA 21636,,CM,95.4,NA,86.9,48,10,NA,Male,Good,NO,NA,NO,NA,NO,NA,NO,NA,NO,NA,NO,NO,NO,NA,NA,NO,NO,YES,14/01/2020 - BRA 21635 BRA 21636,NO,NA,NA,NA,YES,"Skin of left limbs in raw flesh, probabbly caused by copulation fight",NO,NA,NA,NA,NA,01/14/2020,11:15:00,NO,,
1,16-Jan-20,2020,1,9:35:00,4,4,Leão,5,,9,NA,NA,NA,New recruit,NO,NA,NA,NA,BRA 21640,BRA 21642,,CM,108,NA,96.5,aprox. 45,NA,NA,Male,Good,NO,NA,NO,NA,NO,NA,NO,NA,NO,NA,NO,NO,NO,NA,NA,NO,NO,YES,16/01/2020 BRA 21640 BRA 21642,NO,NA,NA,NA,YES,,NO,NA,NA,NA,NA,01/16/2020,9:54:00,NO,,                                                                                                                                                   
1,28-Jan-20,2020,2,14:15:00,5,5,Leão,1,,11,NA,NA,NA,New recruit,NO,NA,NA,NA,BRA 21611,BRA 21612,,CM,102,NA,NA,aprox. 47,NA,NA,Male,Good,NO,NA,NO,NA,NO,NA,NO,NA,NO,NA,NO,NO,NO,NA,NA,NO,NO,YES,28/01/2020 BRA 21611 BRA 21612,NO,NA,NA,NA,NO,,NO,NA,NA,NA,NA,01/28/2020,14:24:00,NO,,
1,3-Feb-20,2020,2,9:00:00,6,6,Leão,6,,12,NA,NA,NA,New recruit,NO,NA,NA,NA,BRA 21605,BRA 21624,,CM,102.6,NA,94.3,aprox. 40,NA,NA,Male,Good,NO,NA,NO,NA,NO,NA,NO,NA,NO,NA,NO,NO,NO,NA,NA,NO,NO,YES,03/02/2020 BRA 21605 BRA 21624,NO,NA,NA,NA,NO,Videos of the capture in the folder 03_02_2020,NO,NA,NA,NA,NA,02/03/2020,9:14:00,NO,,
1,8-Feb-20,2020,2,9:30:00,7,7,Leão,3,,13,NA,NA,NA,New recruit,NO,NA,NA,NA,BRA 21674,BRA 21675,,CM,107.5,NA,94.5,aprox. 55,NA,NA,Male,Good,YES,Left hind flipper splited,NO,NA,NO,NA,NO,NA,NO,NA,NO,NO,NO,NA,NA,NO,NO,YES,08/02/2020 BRA 21674 BRA 21675,NO,NA,NA,NA,NO,Videos of the capture in the folder 08_02_2020,NO,NA,NA,NA,NA,02/08/2020,9:40:00,NO,,
1,9-Feb-20,2020,2,11:10:00,8,8,Leão,2,,14,NA,NA,NA,New recruit,NO,NA,NA,NA,BRA 21655,BRA 21656,,CM,105.5,NA,94.5,aprox. 46,NA,NA,Male,Good,NO,NA,NO,NA,NO,NA,NO,NA,NO,NA,NO,NO,NO,NA,NA,NO,NO,YES,09/02/2020 BRA 21655 BRA 21656,NO,NA,NA,NA,NO,Videos of the capture in the folder 09_02_2020,NO,NA,NA,NA,NA,02/09/2020,11:19:00,NO,,
1,16-Feb-20,2020,2,9:21:00,9,9,Leão,2,,19,NA,NA,NA,New recruit,NO,NA,NA,NA,BRA 21604,BRA 21631,,CM,106.5,NA,96,aprox. 51,NA,NA,Male,Good,NO,NA,NO,NA,NO,NA,NO,NA,NO,NA,NO,NO,NO,NA,NA,NO,NO,YES,16/02/2020 BRA 61604 BRA 21631,NO,NA,NA,NA,NO,Videos of the capture in the folder 16_02_2020,NO,NA,NA,NA,NA,02/16/2020,9:35:00,NO,,
1,5-Mar-20,2020,3,9:55:00,10,10,Leão,12,,20,NA,NA,NA,New recruit,NO,NA,NA,NA,BRA 21691,BRA 21692,,CM,102,NA,95.6,aprox. 43,NA,NA,Male,Good,NO,NA,NO,NA,NO,NA,NO,NA,NO,NA,NO,NO,NO,NA,NA,NO,NO,YES,03/05/2020 BRA 21691 BRA 21692,NO,NA,NA,NA,NO,,NO,NA,NA,NA,NA,03/05/2020,10:06:00,NO,,
2,16-Nov-20,2020,11,11:00:00,11,,Leão,5,Capture,24,NA,NA,NA,New recruit,NO,NA,NA,NA,BRA 21728,BRA 21732,,EI,42,NA,NA,NA,NA,NA,U,Good,NO,NA,NO,NA,NO,NA,NO,NA,NO,NA,NO,NO,NO,NA,NA,NO,NO,NO,NA,NO,NA,NA,NA,NO,,NO,NA,NA,NA,NA,11/16/2020,11:01:00,NO,,
2,2-Dec-20,2020,12,8:48:00,12,11,Sancho,12,Boat,30,NA,-3.85145,-32.44504,New recruit,NO,NA,NA,NA,BRA 21729,BRA 21730,,CM,104.4,NA,96.5,48,36,NA,Male,Good,YES,mating bites,NO,NA,NO,NA,NO,NA,NO,NA,NO,NO,NO,NA,NA,NO,NO,YES,12/02/2020 BRA 21729 BRA 21730,NO,NA,NA,NA,YES,picture in the folder BRA21729 BRA21730,YES,165E213,205537,-3.85145,-32.44504,12/02/2020,11:07:00,NO,Small marks in the plastron and carapace,
2,2-Dec-20,2020,12,14:54:00,13,12,Sancho,6,Boat,32,NA,-3.85276,-32.44738,New recruit,NO,NA,NA,NA,BRA 21733,BRA 21734,,CM,99.2,NA,91.2,43,33,NA,Male,Good,YES,mating bites,NO,NA,NO,NA,NO,NA,NO,NA,NO,NO,NO,NA,NA,NO,NO,YES,12/02/2020 BRA 21733 BRA 21734,NO,NA,NA,NA,YES,Folder BRA 21733 BRA 21734,YES,165E226,205538,-3.85276,-32.44738,12/02/2020,16:25:00,NO,The male was mating when we captured,
2,5-Dec-20,2020,12,9:20:00,14,,Leão,5,Capture,33,NA,NA,NA,Recapture,NO,NA,YES,calcareous algae,BR 70699,BR 70700,,EI,59,NA,NA,NA,NA,NA,U,Good,NO,NA,NO,NA,NO,NA,NO,NA,NO,NA,NO,NO,NO,NA,NA,NO,NO,NO,NA,NO,NA,NA,NA,NO,NA,NO,NA,NA,NA,NA,12/05/2020,9:22:00,NO,,
2,9-Dec-20,2020,12,10:05:00,15,13,Leão,5,Capture,35,NA,NA,NA,Recapture,NO,NA,YES,calcareous algae,BRA 06116,BRA 06117,,CM,101,NA,98,NA,NA,NA,Male,Good,YES,left hind flipper with a missing part with a shape of bite,NO,NA,NO,NA,NO,NA,NO,NA,NO,NO,NO,NA,NA,NO,NO,YES,12/09/2020 BRA 06116 BRA 06117,NO,NA,NA,NA,NO,,NO,NA,NA,NA,NA,12/09/2020,10:10:00,NO,"This turtle was first captured on January 21, 2017, at Sueste Bay, West Side, (non-breeding record number 17), measuring CCL 1.023 and CCW 98.8",
2,13-Dec-20,2020,12,9:30:00,1,1,Sancho,4,Capture,NA,NA,NA,NA,Recapture,NA,NA,YES,light  ,BRA 06187,BRA 06188,,CM,106,NA,98,NA,NA,NA,Male,Good,NO,NA,NO,NA,NO,NA,NO,NA,NO,NA,NO,NO,NO,NA,NA,NO,NO,YES,12/13/2020 BRA 06187 BRA 06188,NO,NA,NA,NA,NO,Recapture of Julio Grande (ID 1) by TAMAR,NO,NA,NA,NA,NA,12/13/2020,NA,NO,,
2,14-Dec-20,2020,12,10:23:00,16,14,Sancho,2,Boat,38,NA,-3.85384,-32.44585,New recruit,NO,NA,NA,NA,BRA 21735,BRA 21736,,CM,103.5,NA,98.5,54.5,36.5,NA,Male,Underweight,YES,without left front flipper and hind left flipper with scars; possible shark bite,YES,marks of teeths,NO,NA,YES,Ventral posterior,YES,"Ventral, close to the plastron and front flipper",NO,YES,NO,NA,NA,NO,NO,YES,12/14/2020 BRA 21735 BRA 21736,NO,NA,NA,NA,YES,Folder BRA 21735 bra 21736,NO,NA,NA,-3.85384,-32.44585,12/14/2020,11:11:00,NO,"Small barnacles in the skin, GPS 11 point 11; dive ID 38",
2,28-Dec-20,2020,12,8:47:00,6,6,Leão,10,Capture,45,NA,NA,NA,Recapture,NO,NA,YES,algae,BRA 21605,BRA 21624,,CM,NA,NA,NA,NA,NA,NA,Male,Good,YES,mating bites on the distal portion of the left front flipper,NO,NA,NO,NA,NO,NA,NO,NA,NO,NO,NO,NA,NA,NO,NO,NO,NA,NO,NA,NA,NA,NO,The male escaped before collecting tissue  sample. The sea was too rough,NO,NA,NA,NA,NA,12/28/2020,8:55:00,NO,Recapture from last season,
2,29-Dec-20,2020,12,15:00:00,15,13,Leão,10,Boat,46,NA,-3.87267,-32.43221,Recapture,NO,NA,NO,NA,BRA 06116,BRA 06117,,CM,101.3,NA,98.5,51.5,42,NA,Male,Good,YES,"left anterior flippers in raw flesh, as well as the right front flipper (but a little less)",YES,some scars see drawing,YES,NA,NO,NA,NO,NA,NO,NO,NO,NA,NA,NO,NO,YES,12/29/2020 BRA 06116 BRA 06117,NO,NA,NA,NA,YES,Folder BRA 06116 BRA 06117,YES,20A0174 ,205539,-3.8727,-32.43238,12/29/2020,16:51:00,NO,GPS 11 - points: M1LEO-C (capture and sighting) and M1LEO-R (release),
2,3-Jan-21,2021,1,7:51:00,17,15,Leão,10,Boat,48,NA,-3.87271,-32.43224,New recruit,NO,NA,NO,NA,BRA 21738,BRA 21739,,CM,103.4,NA,94,48,35.5,NA,Male,Robust,NO,NA,NO,NA,YES,NA,NO,NA,NO,NA,NO,NO,NO,NA,NA,NO,NO,YES,1/3/2021 BRA 21738 BRA 21739,NO,NA,NA,NA,YES,Folder BRA 21738 BRA 21739,YES,20A0175 ,205540,-3.872841,-32.431967,01/03/2021,9:40:00,NO,GPS 11 - points: 012; M17-R,
2,3-Jan-21,2021,1,10:20:00,18,16,Leão,4,Boat,49,NA,-3.87256,-32.43333,New recruit,NO,NA,NO,NA,BRA 21743,BRA 21744,,CM,100,NA,89.4,48.5,37,NA,Male,Good,YES,"Missing claw at the front right flipper, marks of teeths in both front flippers",YES,Marks of teeths on the nuchal,YES,NA,NO,NA,NO,NA,FEW,FEW,NO,NA,NA,NO,NO,YES,1/3/2021 BRA 21743 BRA 21744,NO,NA,NA,NA,YES,Folder BRA 21743 BRA 21744,YES,20A0176,205541,-3.873174,-32.432624,01/03/2021,12:16:00,NO,"GPS 11 - points: 014; M18R. Small barnacles on the flippers and tail, and one barnacle at the carapace - see drawing",
2,8-Jan-21,2021,1,9:21:00,19,17,Leão,1,Capture,53,NA,NA,NA,New recruit,NO,NA,NA,NA,BRA 21731,BRA 21741,,CM,109.8,NA,98,aprox. 54,NA,NA,Male,Robust,NO,NA,NO,NA,NO,NA,NO,NA,NO,NA,NO,NO,NO,NA,NA,YES,NO,YES,8/01/21 BRA 21731 BRA 21741,NO,NA,NA,NA,NO,NA,NO,NA,NA,NA,NA,08/01/2021,9:31:00,NO,NA,
2,11-Jan-21,2021,1,13:47:00,6,6,Leão,6.4,Boat,60,NA,-3.87187,-32.43421,Recapture,NO,NA,YES,light - calcareous algae,BRA 21605,BRA 21624,,CM,102.8,NA,94.3,48,38,NA,Male,Good,YES,Different shape probably by mating bites - see drawing,NO,NA,YES,Left side of ramphoteka was broken,NO,NA,NO,NA,NO,NO,NO,NA,NA,NO,NO,YES,11/01/2021 BRA 21624 BRA 21605,NO,NA,NA,NA,YES,Folder BRA 21605 BRA 21624,YES,20A0177 ,205542,-3.87229,-32.43484,11/01/2021,17:31:00,NO,GPS 11 - points: 028 (capture); 030 (release); a lesion below the left eye,
