mom_nest_combo,dad,hatchling_count,NestTotalHatchCount,propdadcontribute,LowNestSampleSize,,"EA Notes: We are considering a nest with less than 16 hatchlings as nests with too low of samples to detect full paternity. (Flagged as ""Yes"" in column F. "
FDN_F052_S2_N016,FDN_M008,1,28,0.035714286,No,,
FDN_F054_S2_N018,FDN_M008,1,15,0.066666667,Yes,,
FDN_F057_S2_N030,FDN_M008,2,13,0.153846154,Yes,,
FDN_F062_S2_N069,FDN_M008,3,26,0.115384615,No,,
FDN_F086_S3_N037,FDN_M008,3,22,0.136363636,No,,
FDN_F009_S1_N018,FDN_M009,1,16,0.0625,No,,
FDN_F021_S1_N077,FDN_M009,1,15,0.066666667,Yes,,
FDN_F090_S3_N075,FDN_M009,1,10,0.1,Yes,,
FDN_F100_S3_N146,FDN_M009,3,13,0.230769231,Yes,,
FDN_F011_S1_N022,FDN_M010,1,15,0.066666667,Yes,,
FDN_F122_S4_N071,FDN_M010,7,8,0.875,Yes,,
FDN_F052_S2_N016,FDN_M012,17,28,0.607142857,No,,
FDN_F045_S2_N006,FDN_M013,2,14,0.142857143,Yes,,
FDN_F054_S2_N018,FDN_M013,5,15,0.333333333,Yes,,
FDN_F065_S2_N063,FDN_M014,23,31,0.741935484,No,,
FDN_F011_S1_N022,FDN_M015,8,15,0.533333333,Yes,,
FDN_F059_S2_N037,FDN_M015,2,14,0.142857143,Yes,,
FDN_F137_S4_N100,FDN_M015,18,28,0.642857143,No,,
FDN_F077_S3_N010,FDN_M016,7,13,0.538461538,Yes,,
FDN_F010_S1_N020,FDN_M017,2,31,0.064516129,No,,
FDN_F075_S3_N007,FDN_M017,2,14,0.142857143,Yes,,
FDN_F095_S3_N054,FDN_M017,18,30,0.6,No,,
FDN_F121_S4_N015,FDN_M017,4,15,0.266666667,Yes,,
FDN_F133_S4_N103,FDN_M017,26,30,0.866666667,No,,
FDN_F005_S1_N010,FDN_M019,14,27,0.518518519,No,,
FDN_F075_S3_N007,FDN_M019,5,14,0.357142857,Yes,,
FDN_F058_S2_N052,FDN_M020,13,28,0.464285714,No,,
FDN_F152_S4_N168,FDN_M020,28,30,0.933333333,No,,
FDN_F058_S2_N052,FDN_M022,2,28,0.071428571,No,,
FDN_F016_S1_N043,FDN_M023,1,14,0.071428571,Yes,,
FDN_F066_S2_N072,FDN_M023,4,25,0.16,No,,
FDN_F118_S4_N013,FDN_M023,9,11,0.818181818,Yes,,
FDN_F125_S4_N206,FDN_M023,2,3,0.666666667,Yes,,
FDN_F152_S4_N168,FDN_M023,2,30,0.066666667,No,,
FDN_F034_S4_N059,FDN_M025,6,8,0.75,Yes,,
FDN_F059_S2_N037,FDN_M025,10,14,0.714285714,Yes,,
FDN_F141_S4_N084,FDN_M026,13,13,1,Yes,,
FDN_F076_S3_N009,pa_1,23,30,0.766666667,No,,
FDN_F114_S4_N024,pa_10,9,15,0.6,Yes,,
FDN_F102_S3_N137,pa_100,12,16,0.75,No,,
FDN_F010_S1_N020,pa_101,3,31,0.096774194,No,,
FDN_F067_S2_N074,pa_102,1,6,0.166666667,Yes,,
FDN_F064_S2_N056,pa_103,8,15,0.533333333,Yes,,
FDN_F154_S4_N150,pa_104,2,2,1,Yes,,
FDN_F058_S2_N052,pa_105,9,28,0.321428571,No,,
FDN_F016_S1_N043,pa_106,13,14,0.928571429,Yes,,
FDN_F049_S2_N011,pa_107,19,28,0.678571429,No,,
FDN_F052_S2_N016,pa_108,1,28,0.035714286,No,,
FDN_F143_S4_N134,pa_109,2,14,0.142857143,Yes,,
FDN_F005_S1_N010,pa_11,6,27,0.222222222,No,,
FDN_F080_S3_N016,pa_11,15,16,0.9375,No,,
FDN_F009_S1_N018,pa_110,6,16,0.375,No,,
FDN_F048_S2_N020,pa_110,16,16,1,No,,
FDN_F019_S4_N135,pa_111,23,31,0.741935484,No,,
FDN_F155_S4_N180,pa_112,14,14,1,Yes,,
FDN_F044_S2_N061,pa_113,4,15,0.266666667,Yes,,
FDN_F045_S2_N006,pa_114,1,14,0.071428571,Yes,,
FDN_F078_S3_N014,pa_115,2,19,0.105263158,No,,
FDN_F089_S3_N072,pa_116,10,10,1,Yes,,
FDN_F115_S4_N009,pa_118,16,16,1,No,,
FDN_F150_S4_N164,pa_119,1,15,0.066666667,Yes,,
FDN_F138_S4_N097,pa_12,15,15,1,Yes,,
FDN_F046_S2_N008,pa_120,1,32,0.03125,No,,
FDN_F102_S3_N137,pa_121,4,16,0.25,No,,
FDN_F078_S3_N014,pa_122,3,19,0.157894737,No,,
FDN_F075_S3_N007,pa_123,1,14,0.071428571,Yes,,
FDN_F018_S1_N080,pa_124,1,29,0.034482759,No,,
FDN_F078_S3_N014,pa_125,10,19,0.526315789,No,,
FDN_F077_S3_N010,pa_126,6,13,0.461538462,Yes,,
FDN_F009_S1_N018,pa_127,2,16,0.125,No,,
FDN_F143_S4_N134,pa_128,1,14,0.071428571,Yes,,
FDN_F009_S1_N018,pa_129,1,16,0.0625,No,,
FDN_F098_S3_N083,pa_13,11,16,0.6875,No,,
FDN_F099_S3_N090,pa_13,16,16,1,No,,
FDN_F125_S4_N206,pa_130,1,3,0.333333333,Yes,,
FDN_F081_S3_N020,pa_131,1,31,0.032258065,No,,
FDN_F090_S3_N075,pa_131,2,10,0.2,Yes,,
FDN_F100_S3_N146,pa_131,1,13,0.076923077,Yes,,
FDN_F075_S3_N007,pa_132,4,14,0.285714286,Yes,,
FDN_F080_S3_N016,pa_132,1,16,0.0625,No,,
FDN_F121_S4_N015,pa_132,11,15,0.733333333,Yes,,
FDN_F137_S4_N100,pa_133,3,28,0.107142857,No,,
FDN_F009_S1_N018,pa_134,3,16,0.1875,No,,
FDN_F137_S4_N100,pa_135,1,28,0.035714286,No,,
FDN_F053_S2_N017,pa_136,5,15,0.333333333,Yes,,
FDN_F034_S4_N059,pa_137,1,8,0.125,Yes,,
FDN_F018_S1_N080,pa_138,1,29,0.034482759,No,,
FDN_F056_S2_N092,pa_139,1,10,0.1,Yes,,
FDN_F100_S3_N146,pa_14,9,13,0.692307692,Yes,,
FDN_F008_S1_N017,pa_140,2,31,0.064516129,No,,
FDN_F010_S1_N020,pa_140,1,31,0.032258065,No,,
FDN_F085_S3_N085,pa_140,15,15,1,Yes,,
FDN_F091_S3_N046,pa_140,1,16,0.0625,No,,
FDN_F098_S3_N083,pa_140,1,16,0.0625,No,,
FDN_F128_S4_N154,pa_140,3,4,0.75,Yes,,
FDN_F092_S3_N049,pa_141,15,16,0.9375,No,,
FDN_F060_S2_N043,pa_142,2,31,0.064516129,No,,
FDN_F052_S2_N016,pa_143,1,28,0.035714286,No,,
FDN_F103_S3_N119,pa_144,1,16,0.0625,No,,
FDN_F005_S1_N010,pa_145,5,27,0.185185185,No,,
FDN_F076_S3_N009,pa_145,7,30,0.233333333,No,,
FDN_F078_S3_N014,pa_145,4,19,0.210526316,No,,
FDN_F107_S3_N156,pa_145,4,31,0.129032258,No,,
FDN_F130_S4_N087,pa_145,6,6,1,Yes,,
FDN_F136_S4_N203,pa_146,31,31,1,No,,
FDN_F074_S3_N013,pa_147,2,13,0.153846154,Yes,,
FDN_F019_S4_N135,pa_148,8,31,0.258064516,No,,
FDN_F103_S3_N119,pa_148,15,16,0.9375,No,,
FDN_F104_S3_N171,pa_148,1,16,0.0625,No,,
FDN_F153_S4_N220,pa_148,3,32,0.09375,No,,
FDN_F117_S4_N012,pa_149,2,24,0.083333333,No,,
FDN_F091_S3_N046,pa_15,1,16,0.0625,No,,
FDN_F140_S4_N068,pa_15,10,15,0.666666667,Yes,,
FDN_F007_S1_N014,pa_150,2,2,1,Yes,,
FDN_F046_S2_N008,pa_151,6,32,0.1875,No,,
FDN_F049_S2_N011,pa_151,4,28,0.142857143,No,,
FDN_F126_S4_N157,pa_151,3,15,0.2,Yes,,
FDN_F021_S1_N077,pa_153,1,15,0.066666667,Yes,,
FDN_F059_S2_N037,pa_153,2,14,0.142857143,Yes,,
FDN_F137_S4_N100,pa_153,6,28,0.214285714,No,,
FDN_F004_S1_N009,pa_154,2,2,1,Yes,,
FDN_F006_S1_N012,pa_155,5,5,1,Yes,,
FDN_F114_S4_N024,pa_156,1,15,0.066666667,Yes,,
FDN_F074_S3_N013,pa_157,1,13,0.076923077,Yes,,
FDN_F118_S4_N013,pa_158,2,11,0.181818182,Yes,,
FDN_F056_S2_N092,pa_159,2,10,0.2,Yes,,
FDN_F094_S3_N053,pa_17,7,15,0.466666667,Yes,,
FDN_F106_S3_N147,pa_17,13,13,1,Yes,,
FDN_F114_S4_N024,pa_18,1,15,0.066666667,Yes,,
FDN_F044_S2_N061,pa_19,11,15,0.733333333,Yes,,
FDN_F052_S2_N016,pa_19,2,28,0.071428571,No,,
FDN_F054_S2_N018,pa_19,9,15,0.6,Yes,,
FDN_F071_S3_N003,pa_19,10,15,0.666666667,Yes,,
FDN_F086_S3_N037,pa_19,4,22,0.181818182,No,,
FDN_F131_S4_N092,pa_19,2,15,0.133333333,Yes,,
FDN_F134_S4_N104,pa_19,6,15,0.4,Yes,,
FDN_F072_S3_N004,pa_2,19,31,0.612903226,No,,
FDN_F005_S1_N010,pa_20,2,27,0.074074074,No,,
FDN_F021_S1_N077,pa_20,3,15,0.2,Yes,,
FDN_F113_S4_N004,pa_20,16,16,1,No,,
FDN_F109_S3_N201,pa_21,4,13,0.307692308,Yes,,
FDN_F008_S1_N017,pa_22,3,31,0.096774194,No,,
FDN_F063_S2_N053,pa_22,15,15,1,Yes,,
FDN_F095_S3_N054,pa_22,2,30,0.066666667,No,,
FDN_F133_S4_N103,pa_22,4,30,0.133333333,No,,
FDN_F135_S4_N041,pa_22,3,15,0.2,Yes,,
FDN_F149_S4_N159,pa_22,6,16,0.375,No,,
FDN_F140_S4_N068,pa_23,4,15,0.266666667,Yes,,
FDN_F097_S3_N077,pa_24,9,15,0.6,Yes,,
FDN_F091_S3_N046,pa_25,10,16,0.625,No,,
FDN_F095_S3_N054,pa_25,5,30,0.166666667,No,,
FDN_F098_S3_N083,pa_25,4,16,0.25,No,,
FDN_F065_S2_N063,pa_26,6,31,0.193548387,No,,
FDN_F116_S4_N010,pa_26,15,16,0.9375,No,,
FDN_F065_S2_N063,pa_27,2,31,0.064516129,No,,
FDN_F116_S4_N010,pa_27,1,16,0.0625,No,,
FDN_F082_S3_N023,pa_28,2,16,0.125,No,,
FDN_F117_S4_N012,pa_29,10,24,0.416666667,No,,
FDN_F001_S1_N7,pa_3,12,12,1,Yes,,
FDN_F081_S3_N020,pa_30,18,31,0.580645161,No,,
FDN_F087_S3_N063,pa_30,4,16,0.25,No,,
FDN_F081_S3_N020,pa_31,10,31,0.322580645,No,,
FDN_F087_S3_N063,pa_31,12,16,0.75,No,,
FDN_F090_S3_N075,pa_31,5,10,0.5,Yes,,
FDN_F131_S4_N092,pa_32,13,15,0.866666667,Yes,,
FDN_F074_S3_N013,pa_33,5,13,0.384615385,Yes,,
FDN_F008_S1_N017,pa_34,23,31,0.741935484,No,,
FDN_F147_S4_N109,pa_34,7,15,0.466666667,Yes,,
FDN_F134_S4_N104,pa_35,9,15,0.6,Yes,,
FDN_F122_S4_N071,pa_36,1,8,0.125,Yes,,
FDN_F159_S4_N217,pa_36,31,31,1,No,,
FDN_F072_S3_N004,pa_37,7,31,0.225806452,No,,
FDN_F086_S3_N037,pa_37,9,22,0.409090909,No,,
FDN_F055_S2_N021,pa_38,8,31,0.258064516,No,,
FDN_F161_S4_N228,pa_39,30,30,1,No,,
FDN_F158_S4_N198,pa_4,16,16,1,No,,
FDN_F126_S4_N157,pa_40,9,15,0.6,Yes,,
FDN_F082_S3_N023,pa_41,4,16,0.25,No,,
FDN_F140_S4_N068,pa_41,1,15,0.066666667,Yes,,
FDN_F013_S1_N29,pa_42,7,14,0.5,Yes,,
FDN_F071_S3_N003,pa_43,3,15,0.2,Yes,,
FDN_F086_S3_N037,pa_43,6,22,0.272727273,No,,
FDN_F051_S2_N015,pa_44,11,16,0.6875,No,,
FDN_F092_S3_N049,pa_44,1,16,0.0625,No,,
FDN_F117_S4_N012,pa_45,12,24,0.5,No,,
FDN_F107_S3_N156,pa_46,27,31,0.870967742,No,,
FDN_F039_S4_N006,pa_47,26,29,0.896551724,No,,
FDN_F126_S4_N157,pa_47,2,15,0.133333333,Yes,,
FDN_F120_S4_N155,pa_48,16,16,1,No,,
FDN_F010_S1_N020,pa_49,25,31,0.806451613,No,,
FDN_F082_S3_N023,pa_49,10,16,0.625,No,,
FDN_F060_S2_N043,pa_5,29,31,0.935483871,No,,
FDN_F068_S2_N108,pa_5,12,31,0.387096774,No,,
FDN_F045_S2_N006,pa_50,4,14,0.285714286,Yes,,
FDN_F062_S2_N069,pa_50,1,26,0.038461538,No,,
FDN_F142_S4_N216,pa_51,31,31,1,No,,
FDN_F066_S2_N072,pa_52,21,25,0.84,No,,
FDN_F009_S1_N018,pa_53,3,16,0.1875,No,,
FDN_F021_S1_N077,pa_53,10,15,0.666666667,Yes,,
FDN_F039_S4_N006,pa_54,3,29,0.103448276,No,,
FDN_F046_S2_N008,pa_54,11,32,0.34375,No,,
FDN_F049_S2_N011,pa_54,5,28,0.178571429,No,,
FDN_F132_S4_N151,pa_54,11,16,0.6875,No,,
FDN_F072_S3_N004,pa_55,2,31,0.064516129,No,,
FDN_F052_S2_N016,pa_56,2,28,0.071428571,No,,
FDN_F057_S2_N030,pa_56,8,13,0.615384615,Yes,,
FDN_F008_S1_N017,pa_57,3,31,0.096774194,No,,
FDN_F094_S3_N053,pa_57,7,15,0.466666667,Yes,,
FDN_F034_S4_N059,pa_58,1,8,0.125,Yes,,
FDN_F132_S4_N151,pa_58,5,16,0.3125,No,,
FDN_F143_S4_N134,pa_58,11,14,0.785714286,Yes,,
FDN_F015_S1_N042,pa_59,13,24,0.541666667,No,,
FDN_F013_S1_N29,pa_6,7,14,0.5,Yes,,
FDN_F072_S3_N004,pa_6,3,31,0.096774194,No,,
FDN_F114_S4_N024,pa_60,4,15,0.266666667,Yes,,
FDN_F047_S2_N009,pa_61,14,14,1,Yes,,
FDN_F057_S2_N030,pa_61,3,13,0.230769231,Yes,,
FDN_F104_S3_N171,pa_62,15,16,0.9375,No,,
FDN_F045_S2_N006,pa_63,7,14,0.5,Yes,,
FDN_F111_S4_N002,pa_64,6,15,0.4,Yes,,
