NEST,Temp,p_males,upper,lower
N54,27.62,1,0.6,1
N78,27.64,0.6,0.2,0.9
N77,27.66,1,0.6,1
N53,28.51,1,0.6,1
N70,28.57,1,0.6,1
N79,28.92,1,0.6,1
N51,29.05,0.2,0,0.6
N62,29.3,1,0.6,1
N40,29.46,0.6,0.2,0.9
N81,29.46,0,0,0.4
N39,29.72,0.4,0.1,0.8
N76,29.73,0,0,0.4
N73,30,0,0,0.4
N84,30.24,0.4,0.1,0.8
N63,30.32,0,0,0.5
N55,30.68,0.2,0,0.6
N57,30.75,0.2,0,0.6
N44,30.91,0,0,0.5
N32,31.01,0,0,0.4
N71,31.08,0.2,0,0.6
N72,31.09,0,0,0.4
N37,31.14,0.4,0.1,0.8
N60,31.16,0,0,0.4
N82,31.24,0,0,0.4
N34,31.91,0,0,0.4
N68,32.03,0,0,0.4
N47,32.28,0,0,0.4
