"Mother
ID—Clutch",Year,"No.of
offspring
sampled","Clutch
size","Min.
inferred
fathers","Max.
inferred
fathers",InferredfatherID
G001-1,2008,23,111,1,1,F1(23)
G001-3,2008,22,138,1,1,F1(22)
G008-1,2008,22,89,2,2,"F6(21),F7(1)"
G008-3,2008,23,107,1,1,F6(23)
G048-1,2008,22,119,3,3,"F14(5), F15(11),F16(6)"
G048-2,2008,22,140,3,4,"F14(4), F15(15),F16(3)"
G056-1,2008,22,76,2,2,"F17,F18"
G056-3,2008,22,98,1,2,F18
G057-1,2008,21,40,2,2,"F19(6),F20(15)"
G057-3,2008,23,121,1,1,F19(23)
G152-1,2008,21,69,2,2,"F29(20),F30(1)"
G155-2,2008,23,144,2,2,"F31(20),F32(3)"
G155-4,2008,20,117,2,2,"F31(16),F32(4)"
G158-1,2008,22,119,1,1,F36(22)
G158-2,2008,22,136,1,1,F36(22)
G168-1,2008,23,111,1,1,F40(23)
G168-3,2008,22,123,1,1,F40(22)
G177-1,2008,19,158,1,1,F42(19)
G182-1,2008,23,123,1,1,F43(23)
G195-1,2008,22,105,1,1,F51(22)
G195-4,2008,23,117,1,1,F51(23)
G197-2,2008,21,138,1,1,F52(21)
G197-3,2008,22,110,1,1,F52(22)
G198-1,2008,22,99,1,1,F53(22)
G198-4,2008,21,105,1,1,F53(21)
G199-1,2008,22,76,1,1,F54(22)
G199-3,2008,18,96,1,1,F54(18)
G200-1,2008,21,111,1,1,F55(21)
G200-2,2008,20,101,1,1,F55(20)
G201-1,2008,22,95,1,1,F56(22)
G202-2,2008,22,115,1,1,F57(22)
G202-4,2008,22,116,1,1,F57(22)
G203-1,2008,23,95,1,1,F58(23)
G203-3,2008,23,100,1,1,F58(23)
G204-1,2008,22,95,2,2,"F59(22),F60(2)"
G204-3,2008,19,122,2,2,"F59(15),F60(4)"
G015-1,2009,21,145,2,2,"F10(16),F11(5)"
G020-2,2009,21,88,1,1,F12(21)
G071-1,2009,21,131,1,1,F22(21)
G156-2,2009,21,97,2,2,"F33(15),F34(6)"
G157-3,2009,21,137,1,1,F35(21)
G166-1,2009,21,75,2,2,"F38(14),F39(7)"
G185-2,2009,19,102,1,1,F44(19)
G187-1,2009,21,99,1,1,F45(21)
G189-2,2009,21,95,2,2,"F46(18),F47(3)"
G190-1,2009,21,93,1,1,F48(21)
G191-1,2009,21,109,1,1,F49(21)
G192-1,2009,21,126,1,1,F50(21)
G205-1,2009,20,88,1,2,F61(20)
G206-1,2009,21,81,1,1,F62(21)
G207-3,2009,23,123,1,1,F63(23)
G208-1,2009,19,57,1,1,F64(19)
G209-1,2009,21,95,1,1,F65(21)
G210-1,2009,21,69,1,1,F66(21)
G211-1,2009,21,95,1,2,F67(21)
G212-1,2009,21,104,1,1,F68(21)
G213-1,2009,21,111,1,1,F69(21)
G214-1,2009,21,104,2,2,"F70(14),F71(7)"
G215-1,2009,21,106,1,1,F52(21)
G216-3,2009,21,94,1,1,F72(21)
G218-1,2009,21,99,1,1,F73(21)
G219-1,2009,21,98,1,1,F31(21)
G220-1,2009,21,116,1,1,F74(21)
G221-1,2009,21,108,1,1,F75(21)
G222-1,2009,21,123,1,1,F76(21)
G223-1,2009,21,83,1,1,F77(21)
G224-1,2009,21,123,1,1,F78(21)
G225-1,2009,21,77,1,1,F79(21)
G226-1,2009,21,79,1,1,F80(21)
G227-1,2009,22,86,1,1,F81(22)
G002-2,2010,23,149,3,3,"F2(18),F3(4),F4(1)"
G006-2,2010,23,162,1,1,F5(23)
G009-2,2010,23,112,2,2,"F8(22),F9(1)"
G044-2,2010,23,119,1,1,F13(23)
G055-2,2010,22,126,1,1,F15(22)
G058-2,2010,21,138,1,1,F21(21)
G080-2,2010,23,182,1,1,F23(23)
G086-2,2010,23,115,3,3,"F24(16),F25(6),F26(1)"
G087-2,2010,23,150,2,2,"F27(21),F28(2)"
G163-2,2010,23,129,1,1,F37(23)
G172-2,2010,22,126,1,1,F41(22)
G229-2,2010,23,117,1,1,F82(23)
G230-2,2010,23,88,1,1,F83(23)
G231-2,2010,23,75,2,3,"F84(16),F85"
G232-2,2010,23,115,1,1,F86(23)
G233-2,2010,23,100,3,3,"F87(8),F88(11),F89(4)"
G235-2,2010,23,117,3,3,"F90(21),F91(1),F92(1)"
G236-1,2010,23,112,1,1,F93(23)
G237-2,2010,23,94,1,1,F94(23)
G238-1,2010,23,119,1,1,F95(23)
G239-2,2010,23,160,1,1,F96(23)
G240-2,2010,23,107,1,1,F97(23)
G241-1,2010,23,154,1,1,F98(23)
G242-1,2010,23,106,1,2,F99(23)
